10.650,7.950,-22.950,-0.077,-0.307,9.509
11.250,8.100,-22.800,-0.153,-0.153,9.663
11.250,7.050,-22.500,-0.153,-0.230,9.739
10.950,7.050,-22.650,-0.614,-0.460,9.739
10.500,8.400,-22.500,-0.230,-0.077,9.739
10.800,7.350,-22.350,0.000,-0.383,9.893
10.350,7.200,-23.400,-0.230,-0.230,9.586
9.900,7.200,-23.250,-0.690,-0.230,9.586
9.600,7.500,-23.250,-0.153,-0.460,9.663
7.650,6.900,-22.800,-0.307,-0.077,9.663
5.700,7.200,-23.100,0.153,0.000,9.739
4.650,7.350,-22.800,-0.153,0.000,9.816
3.300,7.350,-23.550,-0.077,-0.230,9.663
1.200,7.200,-22.350,-0.460,-0.230,9.509
-1.050,4.800,-22.500,0.000,0.153,9.663
-2.400,4.200,-23.100,-0.383,0.000,9.816
-5.100,4.200,-22.800,-0.153,-0.230,9.663
-6.600,2.700,-23.250,0.077,0.077,9.816
-8.700,1.200,-23.250,-0.307,-0.077,9.739
-10.050,-1.050,-23.400,-0.460,-0.537,9.586
-12.750,-3.150,-22.500,1.380,0.000,8.742
-14.100,-6.000,-21.600,0.997,0.230,9.279
-14.700,-8.250,-22.200,-0.844,0.383,9.509
-15.450,-9.600,-22.200,1.304,-1.764,8.819
-15.750,-12.150,-22.200,-0.614,0.537,9.969
-15.300,-14.700,-22.200,0.767,0.537,9.816
-13.800,-16.500,-22.800,-0.537,-0.920,9.816
-14.400,-18.450,-23.550,-0.077,0.230,10.123
-13.800,-20.100,-22.650,0.077,0.153,9.893
-12.750,-21.750,-23.100,0.307,-0.460,9.816
-11.250,-24.300,-22.050,-0.920,-0.230,9.509
-10.950,-26.550,-22.650,0.690,-0.920,8.972
-9.450,-28.950,-21.150,0.230,1.534,9.969
-7.800,-31.050,-21.900,0.230,0.690,9.893
-5.700,-30.900,-22.650,0.383,0.077,9.586
-2.850,-32.550,-22.500,0.000,-0.767,9.433
-0.450,-33.000,-21.600,0.153,0.077,9.739
1.050,-33.750,-22.050,-0.307,0.077,9.893
4.500,-35.100,-22.650,0.153,-0.077,9.816
6.150,-35.100,-21.900,0.614,0.383,10.200
7.500,-36.300,-21.300,1.150,1.534,10.813
