52.950,54.900,30.600,-5.799,4.199,7.156,1.468,-0.327,-0.706
52.650,54.750,28.950,-5.140,5.619,6.479,1.422,-0.797,-0.001
51.750,55.350,27.750,-4.254,6.558,5.476,1.188,-0.849,-0.598
53.250,55.650,24.750,-5.131,5.837,5.667,1.137,-0.761,-0.897
56.250,54.600,24.750,-4.683,6.383,5.382,1.040,-0.940,-0.774
54.600,54.750,24.450,-5.092,6.871,4.606,1.017,-1.031,-0.637
59.100,50.400,24.150,-4.999,6.802,4.946,0.863,-0.890,-0.675
60.750,51.150,25.650,-4.549,7.003,5.219,0.864,-0.782,-0.632
60.750,51.150,25.650,-5.349,6.713,4.434,0.782,-0.815,-0.583
61.950,48.300,25.500,-4.424,7.379,5.076,0.629,-0.930,-0.491
63.000,44.550,28.650,-5.219,6.876,4.413,0.845,-0.745,-0.743
63.900,44.400,27.300,-5.112,6.709,4.434,0.913,-0.555,-0.916
64.650,42.750,29.250,-6.002,6.642,3.867,0.728,-0.693,-0.827
63.750,39.900,31.200,-6.194,6.867,3.883,0.519,-0.717,-0.455
63.900,38.100,31.800,-5.545,6.725,4.041,0.546,-0.722,-0.387
64.500,38.250,32.700,-5.679,6.876,3.917,0.612,-0.669,-0.668
63.300,35.100,36.450,-5.935,6.962,4.010,0.722,-0.732,-0.428
63.450,34.950,37.050,-6.012,6.646,4.235,0.749,-0.637,-0.313
62.700,36.450,37.050,-5.775,6.507,4.056,0.569,-0.585,-0.340
61.200,35.700,38.850,-5.636,6.910,3.948,0.463,-0.473,-0.391
61.500,34.800,40.200,-5.358,6.855,4.104,0.336,-0.374,-0.363
61.650,33.750,42.900,-6.539,6.282,3.663,0.160,-0.206,-0.471
60.900,32.550,43.350,-6.680,5.703,3.412,-0.060,-0.264,-0.457
61.950,30.600,43.650,-6.457,5.923,3.785,0.148,-0.255,-0.153
59.100,31.650,45.450,-6.182,6.527,3.759,0.184,-0.198,-0.156
58.950,30.600,42.150,-5.820,6.321,4.029,0.022,-0.141,-0.236
58.950,29.850,44.400,-6.412,6.558,3.804,0.050,-0.126,-0.270
58.950,28.650,45.900,-6.206,6.419,4.092,0.080,-0.126,-0.449
57.600,28.950,46.500,-7.659,5.332,3.074,0.687,0.013,-0.247
56.550,31.650,45.000,-7.221,5.885,3.711,1.126,-0.418,0.324
57.000,35.400,45.150,-7.585,5.701,2.085,3.471,-0.760,-0.467
55.050,39.000,43.950,-7.393,6.783,1.132,0.416,-0.532,-0.001
54.150,44.100,41.250,-7.001,5.844,0.484,2.189,-0.792,0.188
50.850,50.850,38.700,-6.158,7.051,-0.484,1.738,-0.646,-0.056
48.750,54.150,36.600,-6.953,7.113,-1.872,0.951,-0.866,0.378
47.400,54.750,36.750,-6.756,7.068,-1.642,1.616,-1.064,-0.026
45.750,59.250,33.600,-6.426,7.053,-1.120,1.165,-1.280,0.182
41.850,61.500,31.050,-6.996,8.337,-2.097,1.018,-1.294,0.506
39.450,63.300,30.900,-6.124,7.293,-1.243,0.889,-1.535,0.137
34.500,64.500,30.150,-6.041,7.274,-1.901,0.708,-1.473,0.341
31.500,64.950,29.700,-5.404,8.380,-2.923,0.618,-1.679,0.310
28.950,67.050,28.500,-5.341,7.630,-2.100,0.784,-1.785,0.491
23.100,66.450,25.950,-5.969,9.091,-2.342,0.518,-1.811,0.543
20.550,68.550,24.300,-4.434,8.887,-1.360,0.211,-1.802,0.618
14.550,67.800,22.800,-4.221,9.862,-1.346,-0.557,-1.977,0.779
12.450,66.450,23.100,-1.056,9.632,1.046,-0.855,-1.616,0.961
6.750,66.000,28.950,-0.151,9.194,2.081,-1.150,-1.638,0.399
3.600,62.400,30.600,1.113,9.036,3.812,-1.630,-1.421,0.357
0.000,59.100,31.950,1.817,8.533,4.652,-1.700,-1.554,-0.025
-1.950,57.300,37.350,2.701,6.491,7.154,-1.951,-1.486,-0.603
-2.400,52.950,40.800,2.186,6.424,7.197,-1.625,-1.197,-1.187
-2.250,53.550,41.700,2.464,4.501,7.695,-1.921,-0.985,-0.472
-3.000,45.750,46.500,3.275,3.182,8.564,-1.500,-0.639,-0.918
-2.700,43.500,48.600,2.990,1.891,9.421,-1.109,-0.659,-1.170
-0.900,45.150,50.100,3.996,1.788,9.033,-1.098,-0.602,-1.405
0.000,42.150,52.500,5.023,1.444,9.091,-0.890,-0.415,-1.493
1.050,42.600,53.550,4.784,0.373,9.330,-0.803,-0.000,-1.983
3.750,41.400,55.800,3.388,-0.433,9.153,-0.938,0.072,-1.960
10.350,40.050,59.400,3.634,-1.065,9.163,-1.080,0.016,-1.802
12.600,40.500,61.950,3.112,-1.628,8.835,-1.172,0.152,-1.814
15.900,35.100,65.550,3.409,-2.533,8.827,-0.962,0.239,-1.575
16.050,33.000,66.450,3.211,-3.481,9.780,-0.472,0.375,-1.067
21.450,32.550,68.250,2.818,-1.810,9.483,-0.026,0.580,-1.264
