21.150,-6.150,84.450,0.018,-0.320,0.947
21.150,-6.150,84.450,-0.004,-0.320,0.947
20.250,-5.250,84.300,0.013,-0.327,0.945
20.250,-5.250,84.300,0.011,-0.321,0.947
20.550,-7.200,86.250,0.011,-0.315,0.949
20.550,-7.200,86.250,0.028,-0.316,0.948
21.900,-4.950,85.950,0.016,-0.319,0.948
21.900,-4.950,85.950,0.008,-0.319,0.948
21.900,-5.400,86.400,0.021,-0.327,0.945
21.900,-5.400,86.400,0.009,-0.329,0.944
21.900,-5.400,86.400,0.003,-0.329,0.944
21.900,-5.400,83.700,0.014,-0.339,0.941
21.900,-5.400,83.700,0.019,-0.339,0.941
22.650,-6.900,84.900,0.014,-0.345,0.939
22.650,-6.900,84.900,0.013,-0.353,0.935
21.750,-6.750,85.800,0.027,-0.364,0.931
21.750,-6.750,85.800,0.008,-0.368,0.930
21.000,-8.700,84.750,0.005,-0.380,0.925
21.000,-8.700,84.750,0.009,-0.391,0.920
20.400,-9.000,85.650,0.024,-0.404,0.914
20.400,-9.000,85.650,0.021,-0.412,0.911
21.750,-9.900,85.500,0.015,-0.421,0.907
21.750,-9.900,85.500,0.014,-0.437,0.899
21.750,-9.900,85.500,0.015,-0.441,0.898
21.000,-14.250,87.000,0.020,-0.453,0.891
21.000,-14.250,87.000,0.019,-0.457,0.889
21.150,-14.400,85.650,0.020,-0.480,0.877
21.150,-14.400,85.650,-0.004,-0.509,0.861
21.600,-17.100,86.400,0.015,-0.568,0.823
21.600,-17.100,86.400,0.020,-0.528,0.849
22.500,-16.950,87.000,0.024,-0.556,0.831
22.500,-16.950,87.000,0.042,-0.575,0.817
21.000,-20.400,85.800,0.012,-0.594,0.804
22.200,-21.300,84.300,-0.001,-0.598,0.802
22.200,-21.300,84.300,0.010,-0.604,0.797
22.200,-21.300,84.300,0.015,-0.616,0.788
21.000,-22.800,85.050,0.016,-0.637,0.771
21.000,-22.800,85.050,0.018,-0.635,0.772
21.450,-22.500,84.300,0.012,-0.654,0.756
21.450,-22.500,84.300,0.019,-0.648,0.761
19.800,-24.750,84.750,0.015,-0.657,0.754
19.800,-24.750,84.750,0.017,-0.661,0.750
22.500,-25.200,83.550,0.016,-0.674,0.739
22.500,-25.200,83.550,0.012,-0.669,0.743
21.150,-25.800,83.100,0.015,-0.674,0.739
21.750,-26.700,83.250,0.013,-0.688,0.726
21.750,-26.700,83.250,0.010,-0.699,0.715
21.750,-26.700,83.250,0.009,-0.695,0.719
21.750,-26.700,83.250,0.019,-0.707,0.707
21.900,-28.050,83.400,0.009,-0.728,0.686
21.900,-28.050,83.400,0.027,-0.734,0.678
21.900,-28.050,83.400,0.017,-0.733,0.680
21.000,-31.500,81.750,0.005,-0.726,0.688
21.000,-31.500,81.750,0.016,-0.737,0.676
21.150,-31.650,82.350,0.023,-0.742,0.670
21.450,-32.250,81.300,0.024,-0.748,0.663
21.450,-32.250,81.300,0.013,-0.745,0.667
23.250,-32.550,81.750,0.004,-0.758,0.653
